Company Name,URL,Countries,Job Count,Remote Job Count
"Coupa Software, Inc.",https://jobs.lever.co/coupa/,"{'United Kingdom', 'Ireland', 'India', 'Colombia', 'Japan', 'United States', 'Germany', 'US'}",64,13
Veho,https://jobs.lever.co/veho,"{'MA', 'VA', 'Colorado Springs', 'Texas', 'CO', 'IN', 'GA', 'TX', 'USA', 'MD', 'IL', 'PA', 'OH', 'OK', 'FL', 'NC', 'NJ'}",52,24
Taptap Send,https://jobs.lever.co/taptapsend,"{'Berlin', 'Dubai', 'Morocco', 'UK', 'France', 'US'}",30,28
Superpedestrian,https://jobs.lever.co/superpedestrian,"{'Connecticut', 'Germany', 'Massachusetts', 'Washington', 'Maryland', 'United Kingdom', 'New Jersey', 'South of Germany', 'California', 'Illinois', 'Turkey', 'Ohio', 'Texas', 'Portugal', 'Austria', 'Kansas', 'Italy', 'Spain', 'Granada', 'Michigan', 'Virginia'}",91,5
Nord Security,https://jobs.lever.co/nordsec,"{'Berlin', 'Kaunas', 'Tokyo', 'Vilnius', 'Warsaw'}",155,4
Bounteous,https://jobs.lever.co/bounteous,"{'Chennai', 'Canada', 'TX', 'ON', 'United States', 'Mexico City'}",25,16
CLO Virtual Fashion,https://jobs.lever.co/clovirtualfashion,"{'Hong Kong', 'Bengaluru', 'Munich', 'Los Angeles', 'Paris', 'Jeju', 'Guangzhou', 'Dhaka', 'Tokyo', 'New York', 'Seoul', 'Shanghai', 'United States'}",44,1
Penumbra,https://jobs.lever.co/penumbrainc,"{'Berlin', 'Germany', 'United Kingdom', 'New South Wales', 'UT', 'CA', 'Your Remote US Home Office', 'Australia Home Office'}",88,9
Qonto,https://jobs.lever.co/qonto,"{'Berlin', 'Paris', 'Milan', 'Barcelona', 'Belgrade'}",38,8
Carbon Health,https://jobs.lever.co/carbonhealth,"{'WI', 'MA', 'East', 'Oklahoma', 'Remote', 'MO', 'AZ', 'TX', 'Colombia', 'Ankara', 'PA', 'CO', 'CA', 'FL', 'WA', 'OH', 'NJ'}",243,4
Token Metrics,https://jobs.lever.co/tokenmetrics,"{'Bucharest', 'Budapest', 'Shenzhen', 'Chennai', 'Tallinn', 'Krakow', 'Capetown', 'Hyderabad', 'Mumbai', 'Johannesburg', 'Dubai', 'Bengaluru', 'São Paulo', 'Delhi', 'Cambridge', 'Amsterdam', 'Sofia', 'Taipei', 'Zurich', 'NY', 'Kinshasa', 'Zagreb', 'Auckland', 'Sydney', 'Hongkong', 'Islamabad', 'Kyiv', 'Dhaka', 'Athens', 'Buenos Aires', 'Singapore', 'Barcelona', 'Lisbon', 'Santiago', 'Texas', 'Karachi', 'Medellin', 'Hanoi', 'Columbo', 'San Francisco', 'Prague'}",274,274
AMARO,https://jobs.lever.co/amaro/,"{'Ceará', 'Bahia', 'São Paulo', 'Full Remote', 'São Paulo or Remote', 'Maranhão', 'Brazil'}",33,2
Atlassian,https://jobs.lever.co/atlassian,"{'Germany', 'Netherlands', 'India', 'Australia', 'Poland', 'Japan', 'Turkey', 'United States', 'Philippines'}",195,191
Palantir Technologies,https://jobs.lever.co/palantir,"{'Remote: US - South', 'AL', 'MO', 'United Arab Emirates', 'CO', 'Germany', 'CA', 'WA', 'NC', 'MA', 'United Kingdom', 'Australia', 'GA', 'PA', 'OH', 'NY', 'MN', 'South Korea', 'Remote: US - East', 'Poland', 'Japan', 'France', 'IL', 'Israel', 'Remote: US - South-West', 'Qatar', 'Remote: US - Mid-West', 'CT', 'TX', 'HI', 'Spain', 'D.C.', 'Canada'}",119,11
Adaptavist,https://jobs.lever.co/adaptavist,"{'Wiesbaden', 'Remote (Spain)', 'Cologne', 'London', 'Madrid', 'Cape Town', 'Remote (USA)', 'Talent Community', 'Remote (Germany)', 'Athens', 'Remote (UK)', 'Kuala Lumpur'}",37,26
